#Facebook-like Social Network. https://toreopsahl.com/datasets/#online_social_network (weighted longitudinal one-mode network)
# Opsahl, T., Panzarasa, P., 2009. Clustering in weighted networks. Social Networks 31 (2), 155-163, doi: 10.1016/j.socnet.2009.02.002
# from, to, weight
1,2,3
3,3,1
1,1,1
15,15,1
141,141,1
2,2,1
1,2,157
4,4,1
3,4,178
431,431,1
473,473,1
44,44,1
36,36,1
34,34,1
5,5,1
5,2,66
63,63,1
112,112,1
1327,1327,1
75,75,1
27,27,1
14,14,1
16,16,1
129,129,1
18,18,1
406,406,1
1094,1094,1
388,388,1
1027,1027,1
514,514,1
367,367,1
9,9,1
32,32,1
8,8,1
22,22,1
10,10,1
1564,1564,1
797,797,1
487,487,1
144,144,1
41,41,1
610,610,1
224,224,1
26,26,1
7,7,1
13,13,1
250,250,1
60,60,1
6,6,1
12,12,1
173,173,1
19,19,1
6,7,222
95,95,1
8,7,20
11,11,1
23,23,1
9,10,47
240,240,1
38,38,1
9,11,11
634,634,1
809,809,1
12,13,37
403,403,1
9,14,9
9,15,10
275,275,1
9,16,19
17,17,1
9,17,33
20,20,1
9,14,17
9,18,84
86,86,1
19,18,55
142,142,1
138,138,1
21,21,1
327,327,1
25,25,1
947,947,1
20,21,47
120,120,1
805,805,1
88,88,1
211,211,1
24,24,1
497,497,1
72,72,1
132,132,1
19,22,75
8,23,58
9,24,14
9,22,19
522,522,1
149,149,1
48,48,1
415,415,1
92,92,1
808,808,1
33,33,1
1615,1615,1
31,31,1
25,21,28
26,7,16
111,111,1
68,68,1
229,229,1
238,238,1
28,28,1
27,28,4
30,30,1
1756,1756,1
110,110,1
1533,1533,1
183,183,1
35,35,1
155,155,1
29,29,1
29,25,18
162,162,1
968,968,1
716,716,1
232,232,1
909,909,1
30,31,24
30,31,24
30,31,24
30,31,24
302,302,1
32,33,23
219,219,1
34,35,49
34,33,64
137,137,1
178,178,1
148,148,1
1504,1504,1
255,255,1
37,37,1
82,82,1
326,326,1
36,37,38
385,385,1
294,294,1
220,220,1
286,286,1
54,54,1
182,182,1
174,174,1
39,39,1
1479,1479,1
653,653,1
40,40,1
38,39,0
46,46,1
36,40,30
41,15,74
41,11,74
41,14,74
41,13,74
47,47,1
41,39,17
57,57,1
104,104,1
49,49,1
42,42,1
52,52,1
70,70,1
43,43,1
41,42,24
79,79,1
87,87,1
41,43,38
53,53,1
1764,1764,1
114,114,1
51,51,1
66,66,1
80,80,1
9,40,9
116,116,1
45,45,1
44,45,39
46,22,36
44,46,52
47,46,29
74,74,1
48,46,69
106,106,1
50,50,1
83,83,1
58,58,1
62,62,1
9,49,169
55,55,1
85,85,1
36,50,25
44,51,36
32,52,98
36,32,128
56,56,1
53,54,55
36,55,273
56,57,66
59,59,1
36,32,272
36,58,43
44,59,56
51,58,2
44,14,52
61,61,1
36,56,38
36,60,30
56,61,25
62,50,16
36,60,98
65,65,1
64,64,1
32,59,104
36,60,200
36,50,104
67,67,1
41,63,62
41,64,83
41,65,109
41,56,83
41,61,136
41,43,83
41,52,118
41,58,33
41,59,83
9,64,33
69,69,1
9,58,27
12,66,14
32,58,36
12,66,199
67,32,48
41,32,39
67,32,39
32,68,85
68,56,69
67,32,23
67,32,17
68,61,51
67,32,42
172,172,1
67,8,16
171,171,1
69,67,67
770,770,1
77,77,1
78,78,1
70,51,5
44,50,40
76,76,1
818,818,1
71,71,1
127,127,1
67,32,6
71,58,7
71,72,0
51,58,18
93,93,1
72,71,0
73,73,1
73,74,7
74,73,85
492,492,1
73,74,67
74,73,81
34,58,34
44,75,98
44,75,31
9,58,27
73,74,80
9,76,57
156,156,1
32,77,8
41,76,82
41,78,98
1741,1741,1
81,81,1
79,48,32
79,63,30
41,80,33
79,58,67
41,81,32
79,70,29
19,82,25
1051,1051,1
19,72,83
12,32,9
19,64,3
19,58,2
19,58,2
19,58,2
103,103,1
19,52,111
83,59,89
51,70,28
334,334,1
38,58,2
84,84,1
118,118,1
206,206,1
902,902,1
41,58,27
63,79,4
41,63,49
67,59,94
41,63,16
41,58,57
44,84,72
19,85,6
19,72,12
140,140,1
3,84,111
19,8,5
19,58,8
84,86,25
83,58,168
36,60,182
86,48,71
87,63,409
101,101,1
36,88,253
90,90,1
89,89,1
87,8,27
1192,1192,1
91,91,1
36,89,8
90,56,37
36,90,20
36,84,46
91,92,72
36,93,30
91,92,62
36,90,34
91,92,16
1303,1303,1
36,60,167
94,94,1
36,84,420
51,58,30
94,84,194
36,84,151
94,84,100
94,84,27
69,84,7
69,95,8
87,8,22
3,84,423
3,84,44
193,193,1
48,86,147
143,143,1
135,135,1
123,123,1
84,8,71
1703,1703,1
96,96,1
91,81,215
96,88,202
99,99,1
237,237,1
100,100,1
8,84,35
84,8,27
91,47,38
685,685,1
97,97,1
354,354,1
98,98,1
552,552,1
97,98,19
98,97,24
97,98,8
48,97,85
102,102,1
1043,1043,1
285,285,1
145,145,1
99,8,27
99,8,27
97,48,89
100,101,40
102,97,6
97,48,16
97,102,23
101,100,51
48,58,27
97,48,14
107,107,1
1085,1085,1
103,72,5
103,58,5
104,59,10
104,59,31
210,210,1
103,72,42
119,119,1
484,484,1
105,105,1
105,56,128
106,72,45
105,61,224
105,8,119
105,33,55
230,230,1
105,107,73
105,81,149
44,102,30
139,139,1
158,158,1
151,151,1
36,105,44
108,108,1
36,104,29
34,108,95
109,109,1
34,109,37
1010,1010,1
36,110,61
111,112,131
152,152,1
518,518,1
34,58,27
113,113,1
36,113,38
36,109,8
115,115,1
887,887,1
79,109,92
114,105,144
101,115,26
896,896,1
56,90,77
56,105,113
56,68,164
328,328,1
154,154,1
1569,1569,1
1457,1457,1
29,58,59
87,58,18
44,116,24
117,117,1
130,130,1
44,117,12
44,117,46
146,146,1
44,79,86
80,58,39
342,342,1
96,32,21
679,679,1
131,131,1
118,100,276
125,125,1
119,120,16
119,120,18
120,119,17
120,75,76
119,120,32
120,119,3
119,58,72
133,133,1
74,73,29
899,899,1
118,120,18
121,121,1
121,108,3
72,106,41
122,122,1
320,320,1
1110,1110,1
44,92,16
26,122,13
395,395,1
1179,1179,1
44,79,243
1,123,50
124,124,1
126,126,1
96,124,40
125,126,32
136,136,1
36,104,116
207,207,1
44,79,58
225,225,1
128,128,1
624,624,1
44,79,410
36,124,119
271,271,1
36,127,140
36,128,54
44,79,339
44,129,74
44,116,54
9,120,29
79,58,2
301,301,1
36,109,16
124,109,39
36,109,30
124,61,49
124,72,39
36,109,157
36,112,32
124,85,40
85,124,13
32,130,86
36,112,45
124,85,121
966,966,1
72,124,24
195,195,1
124,8,56
131,30,50
581,581,1
99,126,80
103,72,69
103,72,110
103,63,40
103,117,17
1105,1105,1
103,72,17
